player,tenure_start,tenure_complete,tenure_finish,experience,year_min,year_max,allstar_games,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,pos_summary
Jim Marshall,-,-,-,1,1962,1962,0,17,35,32,6,11,1,0,3,4,0,0,3,6,.344,.400,.656,1.056,178,-3-O
Mike Marshall,-,-,F,1,1981,1981,0,20,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,-1
Mike Marshall,-,-,-,1,1990,1990,0,53,176,163,24,39,8,1,6,27,0,2,7,40,.239,.278,.411,.689,88,3-O
Starling Marte,-,-,F,3,2022,2024,1,270,1112,1026,152,282,40,8,28,121,54,13,59,222,.275,.328,.411,.740,109,O
J.C. Martin,-,-,-,2,1968,1969,0,144,467,421,32,92,14,3,7,52,0,0,33,63,.219,.281,.316,.597,74,2-3
Jerry Martin,-,-,F,1,1984,1984,0,51,97,91,6,14,1,0,3,5,0,0,6,29,.154,.206,.264,.470,32,O-3
Tom Martin,-,-,-,1,2001,2001,0,14,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Fernando Martínez,S,-,-,3,2009,2011,0,47,145,131,15,24,8,0,2,12,2,1,7,26,.183,.250,.290,.540,46,O
J.D. Martinez,-,-,F,1,2024,2024,0,78,329,287,31,76,17,1,11,47,0,0,33,94,.265,.347,.446,.793,127,
Pedro Martinez HOF,-,-,-,4,2005,2008,2,76,182,155,8,17,3,0,0,6,0,0,3,63,.110,.127,.129,.256,-32,1
Pedro Martínez,-,-,-,1,1996,1996,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Ramón Martínez,-,-,F,2,2008,2009,0,19,62,58,1,11,5,0,0,7,1,0,3,12,.190,.226,.276,.502,33,-6-4
Ted Martínez,S,-,-,5,1970,1974,0,353,1133,1068,104,251,36,14,5,86,19,11,43,152,.235,.267,.309,.576,63,64O5
Roger Mason,-,-,F,1,1994,1994,0,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Jon Matlack,S,-,-,7,1971,1977,3,204,541,441,32,57,3,0,0,23,0,0,57,217,.129,.230,.136,.366,7,1
Phil Maton,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Kazuo Matsui,S,-,-,3,2004,2006,0,239,943,857,106,219,47,6,11,75,22,4,60,159,.256,.308,.363,.670,75,64
Daisuke Matsuzaka,-,-,F,2,2013,2014,0,38,30,23,0,5,0,0,0,2,0,0,1,11,.217,.250,.217,.467,36,1
Gary Matthews,-,-,F,2,2002,2010,0,38,66,59,9,11,3,0,0,1,1,0,6,24,.186,.262,.237,.499,38,-O
Mike Matthews,-,-,F,1,2005,2005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Steven Matz,S,-,-,6,2015,2020,0,109,197,174,8,30,3,1,3,13,0,0,7,49,.172,.203,.253,.456,24,1
Ronny Mauricio,S,C,F,1,2023,2023,0,26,108,101,11,25,4,0,2,9,7,0,7,31,.248,.296,.347,.643,78,-4-5-6
Jerry May,-,-,F,1,1973,1973,0,4,9,8,0,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,66,-2
