player,tenure_start,tenure_complete,tenure_finish,experience,year_min,year_max,allstar_games,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,pos_summary
Chance Sisco,-,-,F,1,2021,2021,0,5,10,9,1,1,1,0,0,1,0,0,1,3,.111,.200,.222,.422,16,-2
Doug Sisk,S,-,-,6,1982,1987,0,263,42,38,1,4,0,0,0,1,0,0,1,20,.105,.128,.105,.233,-34,1
Bobby Smith,-,-,-,1,1962,1962,0,8,25,22,1,3,0,1,0,2,0,1,3,2,.136,.240,.227,.467,26,-O
Charley Smith,-,-,-,2,1964,1965,0,262,1002,942,93,228,32,3,36,120,4,3,36,224,.242,.274,.397,.671,91,56-O-4
Dick Smith,S,-,-,2,1963,1964,0,66,144,136,18,31,6,2,0,6,9,4,6,39,.228,.271,.301,.572,65,-O-3
Dominic Smith,S,-,-,6,2017,2022,0,447,1373,1244,147,306,78,3,46,179,3,3,95,334,.246,.308,.424,.733,99,3O
Drew Smith,S,C,F,6,2018,2024,0,53,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Joe Smith,S,-,-,2,2007,2008,0,132,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,1
Pete Smith,-,-,-,1,1994,1994,0,21,47,37,2,5,1,0,0,1,0,0,4,9,.135,.220,.162,.382,2,-1
Josh Smoker,S,-,-,2,2016,2017,0,69,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,1
Esix Snead,S,C,F,2,2002,2004,0,18,14,13,4,4,0,0,1,3,4,3,1,4,.308,.357,.538,.896,136,-O
Duke Snider HOF,-,-,-,1,1963,1963,1,129,415,354,44,86,8,3,14,45,0,1,56,74,.243,.345,.401,.746,115,O
Alay Soler,S,C,F,1,2006,2006,0,6,15,11,0,1,0,0,0,0,0,0,0,6,.091,.091,.091,.182,-53,-1
Jorge Sosa,-,-,-,2,2007,2008,0,61,32,26,0,5,2,0,0,1,0,0,4,10,.192,.300,.269,.569,51,1
Warren Spahn HOF,-,-,-,1,1965,1965,0,21,45,35,0,4,1,0,0,2,0,1,7,12,.114,.279,.143,.422,26,-1
Tim Spehr,-,-,-,1,1998,1998,0,21,60,51,3,7,1,0,0,3,1,0,7,16,.137,.267,.157,.424,16,-2-3
Shane Spencer,-,-,F,1,2004,2004,0,74,204,185,21,52,10,1,4,26,6,0,13,37,.281,.332,.411,.742,93,O-3
Bill Spiers,-,-,-,1,1995,1995,0,63,87,72,5,15,2,1,0,11,0,1,12,15,.208,.314,.264,.578,58,-5-4
Dennis Springer,-,-,-,1,2000,2000,0,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,-1
Steve Springer,-,-,F,1,1992,1992,0,4,5,5,0,2,1,0,0,0,0,0,0,1,.400,.400,.600,1.000,182,-4-5
Larry Stahl,-,-,-,2,1967,1968,0,124,371,338,24,80,12,2,4,28,5,2,29,63,.237,.300,.320,.620,83,O-3
Roy Staiger,S,-,-,3,1975,1977,0,148,483,446,41,101,18,1,4,37,4,3,29,59,.226,.273,.298,.571,65,5-6
Tracy Stallard,-,-,-,2,1963,1964,0,75,131,127,6,18,3,0,0,2,0,0,0,43,.142,.148,.165,.314,-10,1
Ryne Stanek,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Leroy Stanton,S,-,-,2,1970,1971,0,9,27,25,2,5,1,1,0,2,0,0,2,4,.200,.259,.320,.579,63,-O
Mike Stanton,-,-,-,2,2003,2004,0,128,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,76,1
Rusty Staub,-,-,F,9,1972,1985,0,942,2965,2571,296,709,130,7,75,399,6,3,333,204,.276,.358,.419,.778,119,+O3
Tim Stauffer,-,-,F,1,2015,2015,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
John Stearns,-,-,F,10,1975,1984,4,809,3081,2679,334,695,152,10,46,312,91,51,323,294,.259,.341,.375,.716,102,+23-5-O
John Stephenson,S,-,-,3,1964,1966,0,162,346,321,28,63,6,1,6,28,0,1,20,65,.196,.250,.277,.527,50,2-5-O
Randy Sterling,S,C,F,1,1974,1974,0,3,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,-1
DJ Stewart,-,-,F,2,2023,2024,0,129,372,311,36,65,13,0,16,45,2,1,46,101,.209,.330,.405,.735,107,O-3
Kelly Stinnett,S,-,-,3,1994,2006,0,131,410,358,43,82,14,3,6,32,4,0,40,97,.229,.324,.335,.660,76,2
Josh Stinson,S,-,-,1,2011,2011,0,14,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,-1
Robert Stock,-,-,F,1,2021,2021,0,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Brian Stokes,-,-,-,2,2008,2009,0,90,4,3,0,2,0,0,0,0,0,0,0,1,.667,.667,.667,1.333,256,1
George Stone,-,-,F,3,1973,1975,0,56,100,92,6,19,0,0,0,11,0,0,2,18,.207,.223,.207,.430,22,1
Tobi Stoner,S,C,F,2,2009,2010,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Pat Strange,S,C,F,2,2002,2003,0,11,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Darryl Strawberry,S,-,-,8,1983,1990,7,1109,4549,3903,662,1025,187,30,252,733,191,75,580,960,.263,.359,.520,.878,145,+O
Hunter Strickland,-,-,-,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Scott Strickland,-,-,-,2,2002,2003,0,83,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
John Strohmayer,-,-,F,2,1973,1974,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Brent Strom,S,-,-,1,1972,1972,0,11,7,6,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Marcus Stroman,-,-,-,2,2019,2021,0,41,81,72,4,6,2,0,0,1,1,0,4,35,.083,.132,.111,.243,-32,1
Dick Stuart,-,-,-,1,1966,1966,0,31,96,87,7,19,0,0,4,13,0,1,9,26,.218,.292,.356,.648,82,-3
Tom Sturdivant,-,-,F,1,1964,1964,0,16,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Bill Sudakis,-,-,-,1,1972,1972,0,18,56,49,3,7,0,0,1,7,0,0,6,14,.143,.236,.204,.440,28,-3-2
Cory Sullivan,-,-,-,1,2009,2009,0,64,157,136,17,34,2,5,2,15,7,1,19,22,.250,.338,.382,.720,93,O
John Sullivan,-,-,-,1,1967,1967,0,65,155,147,4,32,5,0,0,6,0,2,6,26,.218,.248,.252,.500,45,2
Cole Sulser,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Darrell Sutherland,S,-,-,3,1964,1966,0,59,21,21,1,5,0,1,0,0,0,0,0,9,.238,.238,.333,.571,62,1
Craig Swan,S,-,-,12,1973,1984,0,229,421,358,18,54,3,0,1,18,0,1,24,131,.151,.206,.168,.374,7,1
Anthony Swarzak,-,-,-,1,2018,2018,0,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Rick Sweet,-,-,-,1,1982,1982,0,3,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,89,
Jon Switzer,-,-,F,1,2009,2009,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Ron Swoboda,S,-,-,6,1965,1970,0,737,2485,2212,246,536,73,20,69,304,20,12,240,549,.242,.319,.387,.706,101,+O-3
Noah Syndergaard,S,-,-,6,2015,2021,1,113,251,222,14,34,7,0,6,15,0,0,15,144,.153,.206,.266,.472,28,1
Thomas Szapucki,S,-,-,2,2021,2022,0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Pat Tabler,-,-,-,1,1990,1990,0,17,47,43,6,12,1,1,1,10,0,0,3,8,.279,.340,.419,.759,108,-O
Travis Taijeron,S,C,F,1,2017,2017,0,26,59,52,3,9,2,0,1,3,0,0,5,24,.173,.271,.269,.540,47,-O
Hisanori Takahashi,S,-,-,1,2010,2010,0,51,20,16,0,1,0,0,0,0,0,0,0,3,.063,.063,.063,.125,-66,1
Ken Takahashi,S,C,F,1,2009,2009,0,26,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,-1
Shingo Takatsu,-,-,F,1,2005,2005,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Jeff Tam,S,-,-,2,1998,1999,0,22,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Frank Tanana,-,-,-,1,1993,1993,0,29,63,58,3,9,1,1,0,5,0,1,2,11,.155,.183,.207,.390,6,-1
Kevin Tapani,S,-,-,1,1989,1989,0,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Tony Tarasco,-,-,F,1,2002,2002,0,60,105,96,15,24,5,0,6,15,2,1,8,13,.250,.305,.490,.794,109,-O-3
Stephen Tarpley,-,-,F,1,2021,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Randy Tate,S,C,F,1,1975,1975,0,26,47,41,2,0,0,0,0,0,0,1,1,22,.000,.024,.000,.024,-93,-1
Fernando Tatís,-,-,F,3,2008,2010,0,258,757,678,81,189,41,5,21,101,7,1,57,132,.279,.343,.447,.790,109,O35-4-6
Jim Tatum,-,-,F,1,1998,1998,0,35,57,50,4,9,1,2,2,13,0,0,3,19,.180,.211,.400,.611,57,-3-2-O-5
Frank Taveras,-,-,-,3,1979,1981,0,378,1583,1480,184,389,64,12,1,69,90,41,68,172,.263,.297,.324,.621,75,+6
Billy Taylor,-,-,-,1,1999,1999,0,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Chuck Taylor,-,-,-,1,1972,1972,0,20,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Hawk Taylor,-,-,-,4,1964,1967,0,183,435,417,33,89,13,0,11,49,0,1,14,68,.213,.244,.324,.567,61,2-O-3
Ron Taylor,-,-,-,5,1967,1971,0,269,31,28,1,2,0,0,0,0,0,0,1,20,.071,.103,.071,.175,-49,1
Sammy Taylor,-,-,-,2,1962,1963,0,90,227,193,15,44,4,3,3,26,0,0,28,24,.228,.326,.326,.652,78,2
Tyrone Taylor,-,-,F,1,2024,2024,0,84,233,216,34,51,12,3,6,25,6,2,12,53,.236,.284,.403,.687,96,O
Taylor Teagarden,-,-,-,1,2014,2014,0,9,30,28,1,4,0,0,1,5,0,0,2,7,.143,.200,.250,.450,29,-2
Julio Teheran,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Rubén Tejada,S,-,F,7,2010,2019,0,586,2194,1940,199,493,99,1,10,148,16,11,187,331,.254,.328,.322,.650,84,+64-5
Dave Telgheder,S,-,-,3,1993,1995,0,37,27,21,1,3,1,0,0,1,0,0,1,11,.143,.182,.190,.372,1,1
Garry Templeton,-,-,F,1,1991,1991,0,80,234,219,20,50,9,1,2,20,3,1,9,29,.228,.257,.306,.562,59,6-3-5-O
Walt Terrell,S,-,-,3,1982,1984,0,57,131,124,6,16,3,0,3,8,0,0,2,52,.129,.143,.226,.369,2,1
Ralph Terry,-,-,F,2,1966,1967,0,13,6,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-5,-1
Tim Teufel,-,-,-,6,1986,1991,0,463,1460,1279,182,328,87,3,35,164,6,9,154,227,.256,.336,.411,.747,110,+43-5
Dale Thayer,-,-,-,1,2011,2011,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
George Theodore,S,C,F,2,1973,1974,0,105,223,192,21,42,5,0,2,16,1,0,18,27,.219,.291,.276,.567,60,O-3
Josh Thole,S,-,-,4,2009,2012,0,308,1026,916,65,239,41,2,7,87,2,2,93,127,.261,.331,.333,.664,85,2
Frank Thomas,-,-,-,3,1962,1964,0,342,1301,1188,122,311,38,5,52,173,3,2,91,172,.262,.319,.434,.752,107,O3-5
Ryan Thompson,S,-,-,4,1992,1995,0,283,1106,997,127,238,53,4,39,126,8,11,74,276,.239,.300,.417,.717,90,O
John Thomson,-,-,-,1,2002,2002,0,9,22,18,2,5,0,0,0,1,0,0,1,7,.278,.316,.278,.594,61,-1
Lou Thornton,-,-,F,2,1989,1990,0,16,13,13,5,4,1,0,0,1,2,0,0,1,.308,.308,.385,.692,102,-O
Marv Throneberry,-,-,F,2,1962,1963,0,130,411,371,29,89,12,3,16,50,1,3,35,88,.240,.302,.418,.720,91,3
Gary Thurman,-,-,F,1,1997,1997,0,11,6,6,0,1,0,0,0,0,0,1,0,0,.167,.167,.167,.333,-11,-O
Dick Tidrow,-,-,F,1,1984,1984,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Rusty Tillman,S,-,-,1,1982,1982,0,12,13,13,4,2,1,0,0,0,1,0,0,4,.154,.154,.231,.385,7,-O
Jorge Toca,S,C,F,3,1999,2001,0,25,27,27,4,7,1,0,0,5,0,0,0,11,.259,.259,.296,.556,45,-3-O
Jackson Todd,S,-,-,1,1977,1977,0,19,18,17,0,1,0,0,0,0,0,0,1,8,.059,.111,.059,.170,-51,-1
Andy Tomberlin,-,-,-,2,1996,1997,0,69,84,73,12,19,4,0,3,10,0,0,10,30,.260,.357,.438,.795,113,-O-3
Michael Tonkin,-,-,-,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Joe Torre HOF,-,-,F,3,1975,1977,0,254,794,722,71,193,29,6,12,75,1,3,58,100,.267,.327,.374,.701,101,35
Luis Torrens,-,-,F,1,2024,2024,0,24,76,69,13,21,6,0,3,13,0,1,5,15,.304,.355,.522,.877,149,-2-1
Alex Torres,-,-,F,1,2015,2015,0,37,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Andrés Torres,-,-,-,1,2012,2012,0,132,434,374,47,86,17,7,3,35,13,5,52,90,.230,.327,.337,.664,86,O
Carlos Torres,-,-,-,3,2013,2015,0,158,26,22,1,2,0,0,0,1,0,0,1,12,.091,.130,.091,.221,-35,1
Mike Torrez,-,-,-,2,1983,1984,0,48,85,75,2,6,0,0,0,3,0,0,2,21,.080,.104,.080,.184,-48,1
Kelvin Torve,-,-,F,2,1990,1991,0,30,52,46,0,11,4,0,0,2,0,0,4,10,.239,.327,.326,.653,82,-3-O
Wilfredo Tovar,S,-,F,3,2013,2021,0,15,34,29,1,5,0,0,0,3,1,0,2,7,.172,.250,.172,.422,22,-6-4
Steve Trachsel,-,-,-,6,2001,2006,0,156,334,284,19,44,5,1,1,17,0,0,8,85,.155,.180,.190,.370,-2,1
Bubba Trammell,-,-,-,1,2000,2000,0,36,65,56,9,13,2,0,3,12,1,0,8,19,.232,.323,.429,.752,91,-O
Alex Treviño,S,-,-,5,1978,1990,0,256,798,733,70,192,25,3,0,69,5,5,48,89,.262,.307,.304,.611,74,25-4-O
Ricky Trlicek,-,-,F,2,1996,1997,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Nick Tropeano,-,-,F,1,2021,2021,0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Michael Tucker,-,-,F,1,2006,2006,0,35,74,56,3,11,4,0,1,6,2,0,16,14,.196,.378,.321,.700,85,-O-3
Justin Turner,-,-,-,4,2010,2013,0,301,895,814,82,216,57,2,8,86,8,4,60,117,.265,.326,.370,.696,95,45-6-3-O
Wayne Twitchell,-,-,-,1,1979,1979,0,33,9,8,0,3,0,0,0,0,0,0,0,5,.375,.375,.375,.750,111,1
Jason Tyner,S,-,-,1,2000,2000,0,13,48,41,3,8,2,0,0,5,1,1,1,4,.195,.222,.244,.466,20,-O
Edwin Uceta,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Del Unser,-,-,-,2,1975,1976,0,224,883,807,93,219,31,4,15,78,8,7,55,116,.271,.316,.375,.692,98,O
Lino Urdaneta,-,-,F,1,2007,2007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Juan Uribe,-,-,-,1,2015,2015,0,44,143,128,17,28,9,0,6,20,0,0,14,34,.219,.301,.430,.730,100,-5-4
Mike Vail,S,-,-,3,1975,1977,0,199,626,584,54,153,25,3,11,61,0,8,34,114,.262,.302,.372,.673,89,O
Raúl Valdés,S,-,-,1,2010,2010,0,36,14,10,1,4,1,0,0,1,0,0,0,3,.400,.400,.500,.900,145,1
Jordany Valdespin,S,-,-,2,2012,2013,0,160,350,324,44,71,12,2,12,42,14,6,18,72,.219,.271,.380,.651,81,O-4-6
Wilson Valdez,-,-,-,1,2009,2009,0,41,95,86,11,22,3,2,0,7,0,1,8,10,.256,.326,.337,.664,78,6-O-4-5
Eric Valent,-,-,F,2,2004,2005,0,158,350,313,43,80,18,2,13,35,0,1,35,78,.256,.331,.450,.782,102,O-3
John Valentin,-,-,F,1,2002,2002,0,114,242,208,18,50,15,0,3,30,0,0,22,37,.240,.339,.356,.695,87,-6-3-5-4
José Valentín,-,-,F,2,2006,2007,0,188,615,550,74,144,35,4,21,80,8,3,52,99,.262,.322,.455,.776,99,4-O-3-5
Bobby Valentine,-,-,-,2,1977,1978,0,111,278,243,25,54,8,0,2,21,1,1,25,27,.222,.295,.280,.575,63,4-3-6-5
Ellis Valentine,-,-,-,2,1981,1982,0,159,526,506,48,132,22,2,13,69,1,6,10,76,.261,.272,.389,.661,86,O
Julio Valera,S,-,-,2,1990,1991,0,5,5,5,0,1,0,0,0,2,0,0,0,1,.200,.200,.200,.400,11,-1
José Valverde,-,-,F,1,2014,2014,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Claudio Vargas,-,-,-,1,2008,2008,0,10,10,8,1,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,-1
Jason Vargas,-,-,-,3,2007,2019,0,39,65,57,2,6,0,0,0,0,0,0,1,24,.105,.121,.105,.226,-37,1
Mo Vaughn,-,-,F,2,2002,2003,0,166,654,566,77,141,20,0,29,87,0,1,73,167,.249,.346,.438,.784,108,3
Jorge Velandia,-,-,-,3,2000,2003,0,47,92,74,8,11,3,1,0,8,0,0,14,18,.149,.281,.216,.497,34,6-4-5
Robin Ventura,-,-,-,3,1999,2001,0,444,1771,1513,219,394,81,1,77,265,6,11,237,301,.260,.360,.468,.828,113,+5-3
Justin Verlander,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Logan Verrett,-,-,-,2,2015,2016,0,46,30,26,1,1,1,0,0,0,0,0,0,14,.038,.038,.077,.115,-70,1
Tom Veryzer,-,-,-,1,1982,1982,0,40,58,54,6,18,2,0,0,4,1,0,3,4,.333,.362,.370,.732,107,-4-6
Mark Vientos,S,C,F,3,2022,2024,0,144,520,478,56,116,20,1,26,67,1,0,34,147,.243,.296,.452,.748,108,5-3
Jonathan Villar,-,-,-,1,2021,2021,0,142,505,454,63,113,18,2,18,42,14,7,46,132,.249,.322,.416,.738,101,5-6-4
Fernando Viña,-,-,-,1,1994,1994,0,79,150,124,20,31,6,0,0,6,3,1,12,11,.250,.372,.298,.670,79,-4-5-6-O
Frank Viola,-,-,-,3,1989,1991,2,82,204,179,8,25,2,0,0,6,0,0,3,40,.140,.154,.151,.305,-14,1
Joe Vitko,S,C,F,1,1992,1992,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
José Vizcaíno,-,-,-,3,1994,1996,0,334,1419,1282,160,361,46,14,7,121,18,19,96,196,.282,.332,.356,.688,84,64
Daniel Vogelbach,-,-,-,2,2022,2023,0,159,502,424,51,102,17,0,19,73,0,0,75,128,.241,.359,.415,.774,117,
Michael Wacha,-,-,-,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Billy Wagner,-,-,-,4,2006,2009,2,175,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Bobby Wahl,-,-,-,1,2018,2018,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Bill Wakefield,S,C,F,1,1964,1964,0,62,27,24,0,4,0,0,0,0,0,0,0,8,.167,.167,.167,.333,-4,1
Chico Walker,-,-,F,2,1992,1993,0,222,487,440,42,118,19,2,9,55,21,1,38,75,.268,.322,.382,.704,95,54O
Josh Walker,S,C,F,2,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Neil Walker,-,-,-,2,2016,2017,0,186,757,677,97,186,22,3,33,91,3,2,69,131,.275,.344,.462,.806,116,4-3-5
Pete Walker,S,-,-,3,1995,2002,0,16,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Taijuan Walker,-,-,-,2,2021,2022,1,28,51,47,0,5,0,0,0,1,0,0,1,29,.106,.143,.106,.249,-30,1
Tyler Walker,S,-,-,1,2002,2002,0,5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Donne Wall,-,-,-,1,2001,2001,0,32,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,1
Derek Wallace,S,-,-,1,1996,1996,0,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Gene Walter,-,-,-,2,1987,1988,0,40,3,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,51,1
Claudell Washington,-,-,-,1,1980,1980,0,79,306,284,38,78,16,4,10,42,17,5,20,63,.275,.324,.465,.788,121,O
Allen Watson,-,-,-,1,1999,1999,0,13,10,10,0,3,1,0,0,0,0,0,0,1,.300,.300,.400,.700,78,-1
Matt Watson,S,-,-,1,2003,2003,0,15,25,23,0,4,2,0,0,2,0,0,1,5,.174,.208,.261,.469,23,-O
David Weathers,-,-,-,3,2002,2004,0,169,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Hank Webb,S,-,-,5,1972,1976,0,50,43,40,7,8,0,0,0,4,0,0,3,9,.200,.256,.200,.456,31,1
Al Weis,-,-,F,4,1968,1971,0,279,714,653,58,125,22,3,4,49,7,5,45,139,.191,.245,.253,.498,43,64-5
Turk Wendell,-,-,-,5,1997,2001,0,268,19,18,0,1,0,0,0,0,0,0,1,6,.056,.105,.056,.161,-56,1
Joey Wendle,-,-,F,1,2024,2024,0,18,37,36,3,8,1,0,0,1,1,0,1,9,.222,.243,.250,.493,43,-4-5-6
David West,S,-,-,2,1988,1989,0,13,7,7,1,3,1,0,0,0,0,0,0,2,.429,.429,.571,1.000,191,-1
Mickey Weston,-,-,F,1,1993,1993,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Dan Wheeler,-,-,-,2,2003,2004,0,64,8,7,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-25,1
Zack Wheeler,S,-,-,5,2013,2019,0,120,250,220,12,33,7,0,1,15,0,0,5,89,.150,.175,.195,.371,3,1
Rick White,-,-,-,2,2000,2001,0,76,8,8,0,1,0,0,0,0,0,0,0,3,.125,.125,.125,.250,-35,1
Wally Whitehurst,S,-,-,4,1989,1992,0,127,76,64,4,12,2,0,0,3,0,1,4,12,.188,.235,.219,.454,30,1
Ty Wigginton,S,-,-,3,2002,2004,0,288,1099,1001,137,270,67,8,29,131,20,4,77,191,.270,.327,.440,.767,100,54-3-O
Adam Wilk,-,-,-,1,2017,2017,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Rick Wilkins,-,-,-,1,1998,1998,0,5,17,15,3,2,0,0,0,1,0,0,2,2,.133,.235,.133,.369,1,-2
Carl Willey,-,-,F,3,1963,1965,0,57,74,63,3,6,0,0,1,5,0,0,2,36,.095,.123,.143,.266,-23,1
Nick Willhite,-,-,F,1,1967,1967,0,4,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Charlie Williams,S,-,-,1,1971,1971,0,31,29,23,1,2,0,0,0,1,0,0,2,11,.087,.160,.087,.247,-27,1
David Williams,-,-,F,2,2006,2007,0,8,12,10,1,2,0,0,0,0,0,0,2,5,.200,.333,.200,.533,44,-1
Gerald Williams,-,-,F,2,2004,2005,0,96,170,159,26,37,10,2,5,14,4,1,9,33,.233,.274,.415,.689,77,O
Mason Williams,-,-,F,1,2021,2021,0,17,37,33,3,7,1,0,1,1,0,1,4,9,.212,.297,.333,.631,73,-O
Trevor Williams,-,-,-,2,2021,2022,0,11,8,7,0,1,0,0,0,0,0,0,0,3,.143,.143,.143,.286,-21,1
Justin Wilson,-,-,-,2,2019,2020,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Mookie Wilson,S,-,-,10,1980,1989,0,1116,4308,4027,592,1112,170,62,60,342,281,90,240,692,.276,.318,.394,.712,100,+O
Paul Wilson,S,-,-,1,1996,1996,0,26,56,50,3,4,0,0,1,4,0,0,1,32,.080,.115,.140,.255,-31,-1
Preston Wilson,S,-,-,1,1998,1998,0,8,22,20,3,6,2,0,0,2,1,1,2,8,.300,.364,.400,.764,102,-O
Tom Wilson,-,-,-,1,2004,2004,0,4,5,4,0,1,0,0,0,0,0,0,1,2,.250,.400,.250,.650,76,-2
Vance Wilson,S,-,-,6,1999,2004,0,286,713,649,68,165,29,2,17,92,2,4,33,130,.254,.308,.384,.692,82,2-3
Jesse Winker,-,-,F,1,2024,2024,0,3,7,6,1,2,0,0,0,0,0,0,1,2,.333,.429,.333,.762,125,-O
Herm Winningham,S,-,-,1,1984,1984,0,14,28,27,5,11,1,1,0,5,2,1,1,7,.407,.429,.519,.947,167,-O
Matt Wise,-,-,F,1,2008,2008,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Gene Woodling,-,-,F,1,1962,1962,0,81,218,190,18,52,8,1,5,24,0,0,24,22,.274,.353,.405,.758,103,O
Chris Woodward,-,-,-,2,2005,2006,0,164,445,395,41,97,20,1,6,43,1,1,36,101,.246,.310,.347,.657,72,43O-6-5
David Wright,S,C,F,14,2004,2018,7,1585,6872,5998,949,1777,390,26,242,970,196,65,762,1292,.296,.376,.491,.867,133,+5-6
Billy Wynne,S,-,-,1,1967,1967,0,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Jimmy Yacabonis,-,-,F,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Jordan Yamamoto,-,-,F,1,2021,2021,0,2,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,177,-1
Tyler Yates,S,-,-,1,2004,2004,0,21,12,11,0,1,0,0,0,0,0,0,0,5,.091,.091,.091,.182,-52,-1
Gabriel Ynoa,S,-,-,1,2016,2016,0,10,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Masato Yoshii,S,-,-,2,1998,1999,0,56,120,103,4,12,1,0,0,5,0,1,3,43,.117,.142,.126,.268,-29,1
Alex Young,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Anthony Young,S,-,-,3,1991,1993,0,101,62,55,2,7,1,0,0,0,0,0,2,20,.127,.158,.145,.303,-14,1
Chris Young,-,-,-,2,2011,2012,0,23,47,40,1,7,2,0,0,4,0,0,1,15,.175,.195,.225,.420,17,-1
Chris Young,-,-,-,1,2014,2014,0,88,287,254,31,52,12,0,8,28,7,3,25,54,.205,.283,.346,.630,81,O
Danny Young,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
